id,title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords,image
1,13 Ghosts,William Castle,1960,United States,36,41,https://resizing.flixster.com/4221xuv5kJWc6vjkF-qMbkjLgYo=/206x305/v1.bTsxMTIxMDk1MjtqOzE3MzY0OzEyMDA7MjcwMDszNjAw,https://rottentomatoes.com/m/13_ghosts,6.1,ghost::haunted house,/content/images/13_ghosts1960.png
2,Atom Age Vampire,Anton Giulio Majano,1960,Italy,,6,https://resizing.flixster.com/ICA3ek2sSP4C0RRmz0Na2J6aqcU=/206x305/v1.bTsxMjE5MzE1OTtqOzE3Mjg2OzEyMDA7MTUxMzsyMTg0,https://rottentomatoes.com/m/atom_age_vampire,3.7,,/content/images/atom_age_vampire1960.png
3,Black Sunday,Mario Bava,1960,Italy,85,77,https://resizing.flixster.com/IQVKzpU--hBZq12xXN5tAzTC4yc=/206x305/v1.bTsxMTIxMTA3MjtqOzE3MzY0OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/black_sunday,7.3,vampire::witchcraft::graveyard::satanism,/content/images/black_sunday1960.png
4,Blood and Roses,Roger Vadim,1960,France & Italy,,36,https://resizing.flixster.com/pAmrcoRJbF0-qSKyGO_-Ojpp1ng=/206x305/v1.bTs1MDkzMzAzO2o7MTczMzg7MTIwMDszNTA7NDY2,https://rottentomatoes.com/m/blood_and_roses,6.7,vampire::haunting::based on novel,/content/images/blood_and_roses1960.png
5,The Brides of Dracula,Terence Fisher,1960,United Kingdom,73,62,https://resizing.flixster.com/otOaSg3PJjCzSKNBy6pmpVtE7m8=/206x305/v1.bTsxMjE4OTQ1NjtqOzE3Mjg2OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/brides_of_dracula,6.8,vampire,/content/images/the_brides_of_dracula1960.png
6,Circus of Horrors,Sidney Hayers,1960,United Kingdom,,,https://resizing.flixster.com/lYp5GkW0Y4o77CXaQKGoeySZo2g=/206x305/v1.bTsxMjEzMjA4NDtqOzE3Mjg1OzEyMDA7MTQ0OzE5Ng,https://rottentomatoes.com/m/circus_of_horrors,6.2,,/content/images/circus_of_horrors1960.png
7,The City of the Dead,John Llewellyn Moxey,1960,United Kingdom,,60,https://resizing.flixster.com/rT4enyTSx02E-zSLGOOxKkLBrjg=/206x305/v1.bTsxMTE3MDM5NztqOzE3MzY0OzEyMDA7MjE0OzMxNw,https://rottentomatoes.com/m/the_city_of_the_dead_1961,6.9,witchcraft::devil::hotel::graveyard,/content/images/the_city_of_the_dead1960.png
8,Eyes Without a Face,Georges Franju,1960,France & Italy,,,,,7.8,graveyard::gore::based on novel,/content/images/eyes_without_a_face1960.png
9,The Flesh and the Fiends,John Gilling,1960,United Kingdom,,,,,7.1,,/content/images/the_flesh_and_the_fiends1960.png
10,The Ghost Cat of Otama Pond,Yoshihiro Ishikawa,1960,Japan,,,,,6.4,,/content/images/the_ghost_cat_of_otama_pond1960.png
11,The Hands of Orlac,Edmond T. Greville,1960,France & United Kingdom,,33,https://resizing.flixster.com/Mg4OAJe701lcOWJOSD6GPtRRrFY=/206x305/v1.bTsxMjExMjkyNTtqOzE3Mjg1OzEyMDA7Nzg7MTQw,https://rottentomatoes.com/m/1056118-hands_of_orlac,,,/content/images/the_hands_of_orlac1960.png
12,Horrors of Spider Island,Fritz B&ouml;ttger,1960,West Germany,,19,https://resizing.flixster.com/SNwO1CkMdu-ZRSVk0i2nW0TLhjQ=/206x305/v1.bTsxMjE5MDg1NztqOzE3Mjg2OzEyMDA7MTU2MzsyMTY5,https://rottentomatoes.com/m/horrors_of_spider_island,2.4,,/content/images/horrors_of_spider_island1960.png
13,House of Usher,Roger Corman,1960,United States,90,73,https://resizing.flixster.com/moAwq7rS8mRrVvPHs16aG-4bK8Q=/206x305/v1.bTsxMjIwMjIxNztqOzE3Mjg2OzEyMDA7MzI5OzQ3NQ,https://rottentomatoes.com/m/the_fall_of_the_house_of_usher_1960,7.0,ghost,/content/images/house_of_usher1960.png
14,The Housemaid,Kim Ki-young,1960,South Korea,,78,https://resizing.flixster.com/9fatAujYp3drMfulCk-7BsmZ06o=/206x305/v1.bTsxMjE5NDMzNztqOzE3Mjg2OzEyMDA7MTAwMDsxNTAw,https://rottentomatoes.com/m/hanyo,,,/content/images/the_housemaid1960.png
15,The Hypnotic Eye,George Blair,1960,United States,,30,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/771314189,5.8,,/content/images/image-404-alt.png
16,Jigoku,Nobuo Nakagawa,1960,Japan,,60,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/jigoku,,,/content/images/image-404-alt.png
17,The Leech Woman,Edward Dein,1960,United States,,12,https://resizing.flixster.com/bX_QAfu8ZB0PgXdoyhvX00qBV0M=/206x305/v1.bTsxMTIzMjk0ODtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/leech_woman,4.3,,/content/images/the_leech_woman1960.png
18,The Little Shop of Horrors,Roger Corman,1960,United States,92,55,https://resizing.flixster.com/x2uy-7zpWQ96IwXfxq97WEkmeXU=/206x305/v1.bTsxMjM1NjQwODtqOzE3Mjg4OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/1012514-little_shop_of_horrors,6.3,,/content/images/the_little_shop_of_horrors1960.png
19,Mill of the Stone Women,Giorgio Ferroni,1960,France & Italy,,55,https://resizing.flixster.com/iRexPtaRX7fsQsaivd212079qwo=/206x305/v1.bTsxMTYyMDI5MDtqOzE3MzY5OzEyMDA7NDU2OzY0OA,https://rottentomatoes.com/m/mill_of_the_stone_women,6.7,,/content/images/mill_of_the_stone_women1960.png
20,Peeping Tom,Michael Powell,1960,United Kingdom,96,85,https://resizing.flixster.com/L9sAlpmzXfEltUI7FOJ5wJ1xy-A=/206x305/v1.bTsxMTI5MzMzNztqOzE3MzY1OzEyMDA7MTAzMjsxMzc2,https://rottentomatoes.com/m/peeping_tom_1960,7.7,,/content/images/peeping_tom1960.png
21,The Playgirls and the Vampire,Piero Regnoli,1960,Italy,,,,,5.2,vampire,/content/images/the_playgirls_and_the_vampire1960.png
22,Psycho,Alfred Hitchcock,1960,United States,96,94,https://resizing.flixster.com/rqHKhF0e9-DMvTIoKG6Sg1Sqa28=/206x305/v1.bTsxMTE3Nzc5NztqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/psycho,8.5,hotel::slasher::based on novel,/content/images/psycho1960.png
23,The Stranglers of Bombay,Terence Fisher,1960,United Kingdom & United States,,,,,,,/content/images/the_stranglers_of_bombay1960.png
24,The Tell-Tale Heart,Ernest Morris,1960,United Kingdom,,,,,,,/content/images/the_telltale_heart1960.png
25,Tormented,Bert I. Gordon,1960,United States,,16,https://resizing.flixster.com/A0t36MlzTfnPpiPp3podHhdn_pM=/206x305/v1.bTsxMTIxOTIzOTtqOzE3MzY0OzEyMDA7MTUxMjsyMTM3,https://rottentomatoes.com/m/tormented,,,/content/images/tormented1960.png
26,The Two Faces of Dr. Jekyll,Terence Fisher,1960,United States & United Kingdom,,54,https://resizing.flixster.com/tTeAqhxsfYAqTBPWVE197t12abo=/206x305/v1.bTsxMjExMjkyNztqOzE3Mjg1OzEyMDA7Nzc7MTQw,https://rottentomatoes.com/m/two_faces_of_dr_jekyll,6.5,snake::based on novel,/content/images/the_two_faces_of_dr_jekyll1960.png
27,The Vampire and the Ballerina,Renato Polselli,1960,Italy,,,,,5.8,vampire,/content/images/the_vampire_and_the_ballerina1960.png
28,Village of the Damned,Wolf Rilla,1960,United Kingdom,96,76,https://resizing.flixster.com/K1cUXnpurqPgHnSi5K3wB6fXP_w=/206x305/v1.bTsxMTI5NDg3NTtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1022823-village_of_the_damned,,,/content/images/village_of_the_damned1960.png
29,The Witch's Curse,Guido Brignone,1960,Italy,,,,,,,/content/images/the_witchs_curse1960.png
30,The World of Vampires,Alfonso Corona Blake,1960,Mexico,,,,,,,/content/images/the_world_of_vampires1960.png
31,The Beast of Yucca Flats,Coleman Francis,1961,United States,,7,https://resizing.flixster.com/A0JnSpvmqq6PJr5so-DR9SSpJRo=/206x305/v1.bTsxMTIxMzM3NTtqOzE3MzY0OzEyMDA7ODU4OzEyMTU,https://rottentomatoes.com/m/beast_of_yucca_flats,2.4,monster,/content/images/the_beast_of_yucca_flats1961.png
32,The Brainiac,Chano Urueta,1961,Mexico,,,,,,,/content/images/the_brainiac1961.png
33,Creature from the Haunted Sea,Roger Corman,1961,United States,,20,https://resizing.flixster.com/dNlcrweAd_Za6eFBx4nHK7Zl7Yk=/206x305/v1.bTsxMTIxNzc3MDtqOzE3MzY0OzEyMDA7MTkwODsyNTQ0,https://rottentomatoes.com/m/creature_from_the_haunted_sea,3.4,monster,/content/images/creature_from_the_haunted_sea1961.png
34,The Curse of the Crying Woman,Rafael Baledon,1961,Mexico,,,https://resizing.flixster.com/2Zl6M0tkTRt2ZMm9PhzxdcpINls=/206x305/v1.bTsxMjE0MjI2NjtqOzE3Mjg1OzEyMDA7MTQ0OzE3MQ,https://rottentomatoes.com/m/curse_of_the_crying_woman,,,/content/images/the_curse_of_the_crying_woman1961.png
